month,total_expense,average_expense,records
2019-01,298389.25,2983.8925,100
2019-03,146721.86000000002,2934.4372000000003,50
2019-04,158475.19,3169.5038,50
2019-05,291660.0,2916.6,100
2019-06,148742.12,2974.8424,50
2019-07,149841.85,2996.837,50
2019-08,150301.41,3006.0282,50
2019-09,147345.16999999998,2946.9033999999997,50
2019-10,160853.08000000002,3217.0616000000005,50
2019-11,159282.4,3185.6479999999997,50
2019-12,156415.76,3128.3152,50
2020-01,152042.71,3040.8541999999998,50
2020-02,139600.83,2792.0166,50
2020-03,144651.84,2893.0368,50
2020-04,145760.28,2915.2056,50
2020-05,162405.65,3248.113,50
2020-06,146676.99,2933.5398,50
2020-07,148046.72,2960.9344,50
2020-08,140214.46,2804.2891999999997,50
2020-09,152078.63,3041.5726,50
2020-10,155714.22,3114.2844,50
2020-11,146294.56,2925.8912,50
2020-12,145030.68,2900.6135999999997,50
2021-01,149095.93,2981.9186,50
2021-02,152580.98,3051.6196,50
2021-03,166492.63999999998,3329.8527999999997,50
2021-04,142217.28,2844.3456,50
2021-05,147616.89,2952.3378000000002,50
2021-06,141653.53,2833.0706,50
2021-07,149497.04,2989.9408000000003,50
2021-08,149051.78,2981.0356,50
2021-09,144961.69,2899.2338,50
2021-10,150213.78,3004.2756,50
2021-11,159219.85,3184.397,50
2021-12,154585.8,3091.716,50
2022-01,155841.64,3116.8328,50
2022-02,151252.22,3025.0444,50
2022-03,156722.35,3134.447,50
2022-04,154892.49,3097.8498,50
2022-05,146596.2,2931.9240000000004,50
2022-06,138954.75,2779.095,50
2022-07,146429.08,2928.5815999999995,50
2022-08,150324.73,3006.4946,50
2022-09,148528.37,2970.5674,50
2022-10,154980.03,3099.6005999999998,50
2022-11,147748.75,2954.975,50
2022-12,160691.33,3213.8266,50
2023-01,147394.26,2947.8852,50
2023-02,150519.02,3010.3804,50
2023-03,148854.89,2977.0978000000005,50
2023-04,151724.25,3034.485,50
2023-05,152487.5,3049.75,50
2023-06,149440.96,2988.8192,50
2023-07,152761.27,3055.2254,50
2023-08,149473.02,2989.4604,50
2023-09,152306.62,3046.1324,50
2023-10,155215.99,3104.3197999999998,50
2023-11,158174.12,3163.4824,50
