,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,rent_or_mortgage,financial_advice_score,actual_savings,savings_goal_met,budget_variance
user_id,1.0,-0.001311894198574763,0.005016560607376013,0.030311643591467978,-0.009488449818641456,0.05090679619374471,0.015627879839039592,-0.01419743018193563,0.019559221296133123,-0.017997444129698555,-0.019389057175740933,-0.02010503508775452,-0.011537543262662656,0.006680383034107053,0.005387641086516234,-0.007778388734743445,-0.0060577982559178135,0.005764754836828392,0.03087669504570125,-0.009127382741050113
monthly_income,-0.001311894198574763,1.0,-0.0009380312030367975,0.009995890516928533,-0.02076508918907162,-0.017054199980526437,-0.003073778036128709,-0.010193440238231365,-0.047464138170815066,0.0020178743268370056,0.015036583710108001,0.027642641801597048,-0.02383258413260755,-0.01186675534285758,-0.01411848076195459,-0.013633796105476433,0.015544321512504589,0.741387977693149,0.4355122588745326,-0.009931787303261365
monthly_expense_total,0.005016560607376013,-0.0009380312030367975,1.0,0.0005153570001887755,-0.02651706598264576,0.0004279830495279584,-0.01833587472867044,0.007962187493864232,-0.032846729195261236,0.02348893195105321,0.005241286400668551,0.013037866988359726,0.04498726078526484,-0.007343540669592376,0.0030113015897307383,0.02634315588392863,0.00443975331388196,-0.5996794461774996,-0.3070656197178689,-0.856478592709612
savings_rate,0.030311643591467978,0.009995890516928533,0.0005153570001887755,1.0,-0.012003670374606085,-0.015403953474707237,-0.0370324311910363,-0.0013058206682331633,-0.020893531929546582,0.005577820952703591,0.025650021813789853,-0.0007434712598386181,-0.00862139037865365,-0.03365881877652428,0.008292755901786809,0.014865407258805722,0.01044017565536782,0.004968164039162821,-0.01332396918329629,-0.006632600414114732
budget_goal,-0.009488449818641456,-0.02076508918907162,-0.02651706598264576,-0.012003670374606085,1.0,0.002781331031701046,-0.005080197017529563,-0.015594872927904723,-0.0030454937357443056,0.005868440647207666,-0.012099911768322029,0.005329673383431763,0.006510651755153513,-0.001726935588461272,-0.000409565893481675,0.024765392825337525,0.0008036743397350164,0.0011848140287226401,-0.21699623110451563,0.5387123347811729
credit_score,0.05090679619374471,-0.017054199980526437,0.0004279830495279584,-0.015403953474707237,0.002781331031701046,1.0,0.018018448346494378,0.0061610920551107935,-0.013222940130284907,-0.0018450582877599037,0.01928690388148307,-0.022333996411594722,-0.01907378546424604,0.025162832867456596,-0.008617454297043591,0.020330779976154928,0.0017593719118949903,-0.008432165022168342,0.002330953103481712,0.0010754813701778156
debt_to_income_ratio,0.015627879839039592,-0.003073778036128709,-0.01833587472867044,-0.0370324311910363,-0.005080197017529563,0.018018448346494378,1.0,-0.004038580042060095,0.015263996870567073,-0.0051222954082326124,-0.02229462899587067,0.02496387813591467,-0.006313989172528064,-0.01253090745576872,-0.02689533478619065,-0.017233570453061144,-0.017492460420406527,0.004431700711838322,0.006216787847286007,0.012829989467354055
loan_payment,-0.01419743018193563,-0.010193440238231365,0.007962187493864232,-0.0013058206682331633,-0.015594872927904723,0.0061610920551107935,-0.004038580042060095,1.0,7.70891145725428e-05,-0.0014067542144621872,0.00570594822410148,0.010258242175790043,0.02989027322633783,-0.023877717860085405,0.00792279510343035,-0.019200529929831157,-0.012443723793145189,-0.006557038093504109,-0.01100250390441857,-0.014763054019988914
investment_amount,0.019559221296133123,-0.047464138170815066,-0.032846729195261236,-0.020893531929546582,-0.0030454937357443056,-0.013222940130284907,0.015263996870567073,7.70891145725428e-05,1.0,0.007498949469119259,-0.040184138153043954,0.012399862386464205,0.002878827256427046,0.026615303390766027,-0.011257884086863078,0.007032349717962534,-0.009451593163141068,-0.022188591148184993,-0.009729679830528911,0.02611018413310464
subscription_services,-0.017997444129698555,0.0020178743268370056,0.02348893195105321,0.005577820952703591,0.005868440647207666,-0.0018450582877599037,-0.0051222954082326124,-0.0014067542144621872,0.007498949469119259,1.0,0.006113583834052189,0.0014532302873265835,0.04008077027189845,-0.0005564310372722015,-0.003981574877175835,0.0030007143025581056,-0.012374214031587298,-0.007658447669828829,-0.013081789043490962,-0.01676589390044792
